;;;;;;;;;;;;;;
Zambezi River Authority;;;;;;;;;;;;;;
Annual Report of Daily Data: Daily Flow;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 1990/1991;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
9;;68;80;198;323;819;1051;1559;934;371;213;126;86;
10;;67;83;198;323;849;1032;1508;913;365;208;124;85;
11;;67;85;199;326;869;1044;1457;880;356;205;122;85;
12;;65;89;200;338;894;1046;1438;853;352;202;121;85;
13;;64;89;203;345;924;1034;1412;827;349;198;119;84;
14;;63;89;208;348;949;1031;1386;799;342;195;116;83;
15;;62;97;220;360;976;1047;1348;772;336;192;115;82;
16;;61;106;226;363;1057;1061;1318;747;327;189;114;80;
17;;60;109;228;376;1144;1088;1322;724;322;186;113;79;
18;;59;108;231;385;1259;1120;1297;698;314;183;111;79;
19;;58;109;243;403;1390;1138;1284;674;309;179;110;78;
20;;56;111;252;417;1456;1141;1271;651;302;177;108;77;
21;;56;122;254;430;1486;1136;1249;637;296;175;106;75;
22;;56;126;258;438;1483;1140;1235;614;290;172;104;75;
23;;55;129;259;446;1462;1138;1228;593;285;169;104;73;
24;;54;132;262;450;1423;1125;1228;574;281;166;103;73;
25;;54;138;265;463;1377;1125;1226;555;275;164;101;74;
26;;54;143;274;471;1357;1140;1226;547;270;161;100;71;
27;;54;150;279;502;1315;1158;1219;517;265;158;98;71;
28;;55;161;285;517;1297;1176;1209;501;256;155;98;71;
29;;58;165;299;535;;1206;1192;485;254;152;97;70;
30;;58;169;305;544;;1256;1177;475;250;152;97;69;
31;;57;;310;552;;1311;;459;;148;95;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 2002/2003;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
;;;;;;;;;;;;;;
1;;69;65;87;430;854;1691;1592;1391;497;285;172;109;
2;;68;64;87;451;867;1675;1902;1324;490;277;168;107;
3;;70;64;88;463;877;1646;2425;1263;480;275;165;105;
4;;71;64;89;475;885;1610;2714;1219;473;270;163;104;
5;;71;64;94;506;926;1553;2892;1170;463;266;160;102;
6;;71;65;95;573;946;1506;3051;1130;453;260;158;101;
7;;72;64;99;602;946;1464;3099;1095;447;257;154;99;
8;;70;65;100;614;993;1453;3162;1055;438;250;152;98;
9;;69;66;100;619;1028;1471;3471;1018;430;249;151;97;
10;;69;75;102;632;1088;1492;3471;983;420;244;148;96;
11;;70;75;108;701;1116;1558;3532;952;411;239;146;94;
12;;69;75;109;706;1131;1553;3545;918;405;237;143;93;
13;;68;77;109;718;1158;1552;3526;891;398;230;141;92;
14;;68;78;111;733;1227;1587;3470;862;392;227;139;91;
15;;68;79;109;781;1344;1614;3421;831;384;223;136;90;
16;;67;79;111;825;1562;1627;3334;803;376;220;135;89;
17;;67;80;111;850;1655;1612;3175;784;369;216;133;88;
18;;66;79;116;873;1684;1585;3044;752;366;212;131;87;
19;;66;80;120;893;1745;1540;2985;733;365;209;130;86;
20;;65;81;126;885;1785;1487;2864;713;365;206;129;85;
21;;64;79;129;883;1825;1436;2710;685;349;202;127;84;
22;;63;76;133;873;1885;1380;2564;662;343;198;124;83;
23;;63;74;138;861;1944;1334;2421;640;334;195;124;82;
24;;62;73;147;851;1945;1293;2246;620;328;193;122;81;
25;;62;74;170;865;1894;1256;2069;603;321;191;121;79;
26;;62;75;182;857;1807;1233;1902;583;312;188;118;78;
27;;62;76;227;845;1748;1209;1756;573;308;184;117;77;
28;;62;87;274;843;1704;1186;1640;552;302;181;114;77;
29;;62;86;356;874;;1155;1542;537;295;180;113;76;
30;;63;83;340;872;;1200;1456;522;291;177;112;75;
31;;64;;356;865;;1392;;515;;173;111;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 2003/2004;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
;;;;;;;;;;;;;;
1;;73;63;79;231;630;2719;2868;1192;460;249;151;95;
2;;72;64;80;231;643;3151;2836;1145;446;243;149;94;
3;;72;64;83;233;659;3219;2827;1115;436;239;146;93;
4;;70;64;85;235;666;3169;2881;1070;424;236;144;91;
5;;69;62;86;241;674;3075;3022;1033;414;230;143;90;
6;;68;61;87;246;684;3032;3051;1004;406;227;141;89;
7;;66;61;89;252;695;3009;3056;982;395;223;140;88;
8;;66;62;94;258;698;2919;3023;953;387;221;137;88;
9;;65;62;96;280;696;2818;3059;931;379;217;136;86;
10;;64;62;102;284;696;2764;3036;909;375;214;134;84;
11;;62;62;105;288;718;2697;3036;880;362;208;132;84;
12;;62;62;107;314;786;2631;3009;857;361;206;130;87;
13;;61;64;113;330;840;2564;2919;838;356;202;127;82;
14;;60;61;120;348;891;2499;2781;813;344;199;126;81;
15;;59;62;133;368;958;2450;2641;790;338;195;125;80;
16;;59;65;134;379;1033;2521;2499;769;331;191;122;79;
17;;59;66;139;395;1080;2565;2339;747;322;190;120;78;
18;;57;66;145;405;1178;2655;2184;724;316;186;118;78;
19;;63;66;148;406;1281;2764;2053;701;309;182;116;77;
20;;62;67;155;434;1306;2804;1935;683;306;180;114;77;
21;;63;70;161;483;1302;2801;1849;657;298;178;112;75;
22;;66;72;165;515;1289;2778;1783;638;296;174;111;74;
23;;65;73;167;520;1315;2801;1709;616;286;173;109;73;
24;;63;74;188;524;1379;2780;1637;597;281;169;107;72;
25;;60;77;195;528;1525;2789;1574;575;278;168;106;71;
26;;61;75;220;561;1649;2837;1496;557;274;165;105;74;
27;;59;77;211;578;1750;3022;1419;536;268;161;103;72;
28;;60;75;218;584;1959;2990;1344;520;261;160;101;72;
29;;60;75;230;584;2344;2916;1279;505;257;158;100;70;
30;;60;76;229;598;;2834;1231;490;252;155;98;71;
31;;62;;228;614;;2836;;474;;154;96;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 2004/2005;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
;;;;;;;;;;;;;;
1;;71;59;90;224;853;853;764;620;328;194;123;81;
2;;69;59;94;234;852;848;809;603;323;192;121;79;
3;;68;59;98;247;849;833;845;587;315;188;119;78;
4;;67;59;104;261;845;822;917;583;309;184;117;77;
5;;65;59;109;277;842;811;932;571;303;183;115;75;
6;;64;60;125;294;849;798;964;553;297;179;113;75;
7;;63;61;124;309;845;790;1001;534;290;176;112;74;
8;;64;62;126;333;845;781;1034;519;286;175;111;72;
9;;61;66;128;351;847;777;1051;501;284;172;109;71;
10;;61;70;128;384;853;761;1053;488;278;168;108;70;
11;;61;70;130;415;870;757;1044;468;272;166;106;69;
12;;61;70;132;443;887;747;1039;462;269;164;105;68;
13;;60;69;145;463;916;729;1031;450;265;163;104;68;
14;;60;69;143;490;932;714;1018;442;258;160;101;67;
15;;60;71;143;519;946;706;1001;432;254;158;100;65;
16;;59;70;143;522;959;692;979;422;250;156;99;64;
17;;62;71;150;528;968;686;957;414;246;153;98;63;
18;;63;75;150;538;983;688;932;403;241;151;97;63;
19;;63;76;149;553;983;686;917;398;238;147;95;62;
20;;62;77;148;574;973;680;889;394;234;147;93;60;
21;;61;78;148;589;973;672;860;384;228;143;93;60;
22;;64;79;153;610;959;662;831;379;227;141;92;59;
23;;63;79;159;644;939;655;803;373;221;138;90;59;
24;;63;81;159;677;931;653;778;366;216;136;89;57;
25;;64;81;164;712;920;653;753;361;215;135;88;56;
26;;64;83;163;728;903;648;725;356;212;133;87;55;
27;;63;83;168;750;883;657;703;356;208;131;87;55;
28;;62;83;177;778;867;665;680;356;204;129;85;54;
29;;60;85;181;824;;688;660;349;201;128;83;53;
30;;59;88;189;824;;701;637;342;197;126;82;52;
31;;60;;201;837;;721;;337;;124;81;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 2005/2006;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
;;;;;;;;;;;;;;
1;;52;45;66;114;276;1620;1592;1170;411;221;128;80;
2;;52;45;66;113;283;1701;1612;1130;399;219;126;79;
3;;52;43;66;121;290;1737;1610;1088;389;215;124;78;
4;;52;44;65;123;306;1746;1590;1047;376;210;122;77;
5;;51;43;66;125;345;1720;1539;1007;365;207;119;76;
6;;51;44;68;132;339;1666;1508;971;356;202;117;76;
7;;50;45;71;136;351;1603;1489;932;351;199;115;75;
8;;49;44;75;142;415;1555;1472;907;351;196;113;73;
9;;49;45;78;142;450;1505;1462;870;348;191;111;72;
10;;48;49;78;143;469;1441;1457;842;340;189;109;71;
11;;47;52;80;157;475;1396;1490;842;335;185;108;70;
12;;47;53;82;167;487;1365;1505;784;327;182;107;70;
13;;47;55;84;171;505;1453;1525;759;319;179;106;69;
14;;46;56;85;173;513;1523;1557;732;313;175;105;68;
15;;45;56;86;180;527;1579;1592;705;308;173;104;66;
16;;45;55;86;190;547;1650;1610;685;301;169;102;66;
17;;44;55;86;195;583;1722;1630;662;293;166;98;65;
18;;43;54;90;201;607;1774;1650;642;288;164;96;64;
19;;43;54;92;206;624;1828;1673;624;282;160;95;62;
20;;42;56;90;207;660;1857;1680;606;276;159;93;61;
21;;42;56;90;208;709;1889;1675;583;271;155;93;61;
22;;42;57;89;212;822;1887;1654;565;266;152;92;60;
23;;42;57;88;217;1082;1892;1623;552;259;149;90;60;
24;;42;58;91;219;1240;1778;1568;532;254;147;89;59;
25;;43;58;91;228;1289;1716;1513;515;250;145;89;58;
26;;43;57;98;229;1335;1705;1449;499;246;142;87;58;
27;;45;60;116;233;1409;1637;1393;476;241;139;86;58;
28;;44;57;110;250;1518;1608;1329;466;236;136;86;60;
29;;43;57;109;276;;1590;1273;452;231;135;84;60;
30;;43;70;107;282;;1575;1223;437;227;133;83;59;
31;;45;;110;274;;1580;;424;;130;81;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 2006/2007;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
;;;;;;;;;;;;;;
1;;59;67;170;803;2835;1964;1679;1002;443;286;187;123;
2;;60;65;173;902;3089;1901;1664;968;439;283;184;121;
3;;60;64;177;961;3251;1834;1749;946;432;277;182;119;
4;;59;63;179;1018;3349;1770;1824;927;418;274;180;118;
5;;61;63;182;1064;3520;1700;1948;899;411;270;178;116;
6;;63;63;184;1180;3703;1655;2044;868;407;266;174;115;
7;;65;61;197;1336;3838;1612;2036;844;396;261;173;114;
8;;68;65;204;1365;3892;1644;1960;821;390;258;171;112;
9;;70;66;202;1410;3928;1646;1852;798;389;254;168;111;
10;;71;70;203;1560;3943;1610;1793;779;379;250;166;110;
11;;70;72;204;1635;3918;1763;1730;756;375;246;164;108;
12;;70;72;205;1764;3952;1961;1664;733;365;245;161;107;
13;;71;74;218;1832;4023;2141;1615;715;360;242;160;105;
14;;70;75;217;1728;4065;2265;1577;696;353;241;159;104;
15;;70;87;217;1738;4064;2304;1541;673;351;235;156;102;
16;;71;86;222;1737;3959;2292;1506;655;351;231;154;101;
17;;69;91;225;1592;3865;2296;1464;638;351;229;152;100;
18;;69;98;234;1524;3727;2268;1426;617;345;228;150;99;
19;;71;103;252;1489;3580;2267;1386;601;341;224;147;98;
20;;70;108;261;1556;3431;2269;1354;585;338;222;145;96;
21;;70;117;281;1452;3263;2225;1320;560;330;220;142;96;
22;;70;121;281;1419;3106;2184;1285;555;325;215;141;95;
23;;67;125;290;1415;2892;2118;1249;541;319;209;140;95;
24;;68;127;307;1401;2630;2023;1212;528;318;209;139;91;
25;;69;129;329;1392;2474;1929;1177;513;310;207;136;90;
26;;67;131;361;1439;2294;1840;1145;501;308;200;135;89;
27;;66;136;365;1501;2146;1793;1114;491;303;199;133;90;
28;;66;143;424;1612;2060;1724;1086;479;300;199;132;90;
29;;66;156;465;1757;;1658;1056;470;294;195;129;89;
30;;67;164;553;2143;;1647;1026;462;291;193;128;86;
31;;66;;644;2411;;1611;;452;;191;126;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 2007/2008;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
;;;;;;;;;;;;;;
1;;87;77;118;278;904;1206;1679;964;439;235;145;90;
2;;86;80;121;279;894;1202;1649;946;430;230;142;89;
3;;87;81;123;291;884;1194;1641;932;419;227;139;87;
4;;86;82;124;301;870;1219;1632;898;404;221;135;85;
5;;86;82;128;334;864;1218;1607;892;395;218;135;84;
6;;87;82;128;342;858;1208;1579;870;390;217;133;84;
7;;88;84;129;361;851;1216;1559;856;375;214;132;82;
8;;86;84;133;375;852;1240;1540;853;365;209;130;81;
9;;89;86;154;385;851;1280;1541;805;357;208;129;80;
10;;91;87;179;396;850;1324;1505;792;355;199;127;79;
11;;92;88;179;402;851;1386;1466;772;350;195;124;77;
12;;91;88;180;424;860;1455;1455;754;342;194;123;75;
13;;92;88;181;469;877;1621;1466;735;337;191;121;75;
14;;93;89;188;490;896;1765;1472;720;329;190;119;74;
15;;91;91;198;495;911;1831;1468;698;321;187;117;72;
16;;91;93;206;495;925;1882;1453;677;316;183;115;72;
17;;91;95;212;500;946;1940;1429;661;308;181;114;71;
18;;90;97;217;527;976;1993;1402;640;303;178;110;70;
19;;90;96;224;549;1023;2111;1369;631;299;178;107;69;
20;;89;97;224;583;1063;2163;1329;616;291;173;107;68;
21;;86;97;231;624;1096;2222;1287;599;286;171;105;67;
22;;86;97;230;641;1114;2240;1249;583;281;169;104;66;
23;;84;99;243;662;1161;2263;1209;566;274;161;101;66;
24;;86;100;246;708;1177;2243;1185;552;268;160;100;65;
25;;82;100;246;755;1180;2170;1145;542;261;160;99;64;
26;;82;106;247;797;1192;2076;1115;526;256;158;99;64;
27;;81;108;266;849;1192;1972;1085;506;253;155;96;63;
28;;79;110;268;877;1193;1904;1049;495;246;152;95;61;
29;;77;111;271;904;1196;1825;1022;474;243;151;94;60;
30;;77;115;271;920;;1767;997;471;238;148;92;59;
31;;76;;287;917;;1726;;453;;146;91;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 2008/2009;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
;;;;;;;;;;;;;;
1;;59;55;108;673;978;3672;2980;906;388;223;136;83;
2;;57;56;127;689;981;3749;2785;878;380;220;134;83;
3;;56;57;131;673;991;3762;2595;847;373;212;131;81;
4;;55;56;141;677;1000;3771;2412;824;361;209;130;81;
5;;55;56;142;668;1027;3787;2235;796;356;205;127;79;
6;;55;56;144;665;1070;3814;2064;764;354;201;125;77;
7;;35;57;152;670;1123;3827;1898;736;351;201;124;77;
8;;52;57;158;677;1138;3843;1739;707;341;194;123;76;
9;;53;53;169;695;1165;3799;1660;687;334;192;121;76;
10;;52;53;186;727;1234;3747;1590;668;329;188;118;74;
11;;51;54;198;721;1315;3735;1543;642;316;186;117;72;
12;;50;55;202;709;1398;3760;1510;618;314;183;117;72;
13;;50;65;207;711;1470;3927;1489;601;311;180;115;71;
14;;49;75;232;689;1525;3997;1474;579;303;178;113;69;
15;;49;73;245;686;1584;4072;1457;562;295;175;109;69;
16;;49;67;249;677;1631;4086;1440;549;290;173;107;68;
17;;47;66;270;667;1696;4079;1419;533;284;173;106;67;
18;;47;65;307;631;1709;4133;1398;522;279;167;105;66;
19;;47;69;325;659;1775;4389;1367;506;273;163;105;63;
20;;47;73;348;666;1916;4541;1333;495;270;162;102;63;
21;;50;74;352;703;1961;4757;1298;478;264;160;101;63;
22;;51;75;376;717;2078;4970;1256;472;261;159;99;63;
23;;53;79;386;859;2282;5006;1208;463;256;156;98;63;
24;;53;89;413;745;2600;4982;1170;452;250;151;96;63;
25;;54;86;459;787;2931;4789;1141;446;246;150;94;62;
26;;54;89;516;823;3167;4663;1085;425;242;147;91;61;
27;;53;91;557;857;3376;4409;1054;423;236;146;91;61;
28;;53;91;583;887;3540;4130;1017;420;227;145;90;60;
29;;53;95;620;917;;3827;978;412;227;142;89;60;
30;;53;102;644;927;;3495;926;409;224;140;86;60;
31;;54;;659;932;;3180;;391;;139;85;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 2009/2010;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
;;;;;;;;;;;;;;
1;;59;58;127;527;1525;4011;4488;1657;600;319;183;109;
2;;59;63;139;583;1463;3878;4690;1568;587;312;181;107;
3;;60;63;141;597;1370;4039;4836;1495;571;310;177;105;
4;;60;63;143;605;1451;4127;4880;1437;559;307;173;104;
5;;59;63;149;628;1466;4047;4928;1383;544;299;173;103;
6;;58;63;150;647;1480;3877;4994;1330;532;296;170;101;
7;;57;62;154;669;1486;3805;5164;1280;521;291;167;99;
8;;57;60;155;693;1519;3471;5234;1241;511;286;165;98;
9;;56;59;154;732;1550;3380;5212;1206;503;262;162;95;
10;;55;61;163;739;1610;3065;5124;1162;495;257;160;94;
11;;55;62;176;759;1658;2934;5088;1130;491;255;157;92;
12;;55;62;185;789;1710;2742;5152;1094;474;250;154;90;
13;;54;62;201;835;1755;2551;5227;1060;464;249;151;90;
14;;55;64;201;855;1803;2408;5124;1025;457;238;148;87;
15;;55;67;206;888;1847;2286;5004;996;448;234;144;86;
16;;55;72;211;929;1936;2214;4873;969;438;231;144;84;
17;;56;77;219;961;2054;2143;4629;925;432;230;141;84;
18;;55;79;223;1000;2161;2124;4369;912;423;227;135;82;
19;;55;79;244;1101;2237;2046;4133;887;395;215;135;79;
20;;55;83;268;1215;2339;2023;3831;860;405;214;133;79;
21;;55;95;289;1322;2349;1994;3556;833;399;214;132;78;
22;;55;93;347;1384;2390;1962;3262;807;395;214;126;77;
23;;56;94;397;1402;2452;1982;3019;784;384;214;124;76;
24;;56;96;428;1481;2798;1995;2928;761;380;212;123;75;
25;;57;101;441;1544;3261;2113;2515;755;356;201;122;75;
26;;56;107;446;1574;3760;2264;2341;714;348;200;120;77;
27;;56;114;445;1638;3913;2456;2168;704;336;199;119;74;
28;;57;118;441;1661;3930;2787;2023;682;334;191;115;73;
29;;57;121;443;1663;;3263;1859;666;329;190;113;72;
30;;56;124;448;1609;;3734;1751;634;325;189;113;70;
31;;57;;495;1574;;4144;;612;;187;111;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 2010/2011;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
;;;;;;;;;;;;;;
1;;69;46;110;1689;3563;2170;3882;1746;559;313;198;126;
2;;66;45;110;1655;3532;2123;4012;1652;547;307;194;125;
3;;64;47;112;1611;3460;2140;4012;1570;533;300;191;121;
4;;63;46;113;1539;3374;2151;3940;1493;523;299;190;121;
5;;63;46;121;1485;3271;2172;3839;1428;511;296;187;120;
6;;61;43;123;1445;3182;2179;3729;1376;500;289;184;116;
7;;60;43;132;1417;3059;2123;3585;1313;490;284;182;114;
8;;57;48;136;1437;2926;2165;3471;1256;474;278;178;113;
9;;57;48;137;1362;2801;2237;3407;1209;469;274;175;112;
10;;56;47;163;1336;2652;2327;3314;1161;465;271;174;110;
11;;56;47;173;1361;2588;2404;3272;1136;453;265;170;108;
12;;55;47;190;1334;2561;2489;3295;1085;446;259;167;107;
13;;55;47;214;1370;2501;2542;3369;1050;433;255;165;106;
14;;55;47;246;1522;2493;2556;3452;932;422;255;163;103;
15;;55;47;338;1687;2499;2564;3511;931;418;251;159;101;
16;;54;66;634;1721;2514;2537;3552;925;413;245;157;101;
17;;45;65;1437;1774;2488;2505;3530;898;408;241;154;100;
18;;41;72;1643;1885;2456;2445;3452;862;403;239;154;99;
19;;50;71;1734;2073;2445;2403;3306;832;389;235;151;98;
20;;49;72;1730;2322;2434;2380;3131;805;379;231;147;96;
21;;47;74;1611;2884;2383;2349;2927;771;374;229;144;95;
22;;47;78;1561;3255;2381;2348;2678;752;370;224;144;94;
23;;46;83;1524;3427;2414;2392;2537;733;360;221;142;91;
24;;46;87;1522;3555;2397;2461;2426;712;357;219;141;91;
25;;45;89;1567;3646;2372;2587;2217;684;346;218;139;90;
26;;46;95;1610;3680;2323;2731;2135;670;346;212;137;88;
27;;51;96;1639;3680;2297;2812;2043;638;339;210;136;87;
28;;49;98;1664;3640;2214;2907;2019;629;330;208;133;86;
29;;49;104;1684;3558;;3028;1890;612;325;205;130;84;
30;;49;105;1700;3488;;3233;1860;594;320;202;129;89;
31;;47;;1701;3505;;3558;;573;;200;127;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 2011/2012;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
;;;;;;;;;;;;;;
1;;87;83;154;680;1061;1509;3840;975;402;241;155;103;
2;;86;86;155;736;1073;1532;3867;961;391;238;154;101;
3;;84;89;160;766;1055;1552;3882;898;384;235;152;99;
4;;88;88;165;805;1141;1552;3827;876;371;230;148;123;
5;;89;87;166;826;1124;1557;3755;851;369;227;147;107;
6;;89;90;174;849;1150;1572;3672;828;366;224;144;95;
7;;87;91;180;867;1131;1587;3555;793;364;223;142;93;
8;;86;93;187;884;1140;1631;3386;766;354;219;139;89;
9;;87;92;190;892;1161;1664;3203;752;347;212;138;87;
10;;87;92;204;899;1171;1692;3009;714;342;209;138;86;
11;;87;93;209;901;1192;1750;2793;694;337;207;137;89;
12;;86;94;212;917;1192;1840;2587;683;329;205;134;87;
13;;86;94;221;929;1175;1894;2393;650;321;201;130;86;
14;;86;94;238;960;1172;1940;2206;644;318;201;129;85;
15;;85;95;266;956;1235;1986;2125;608;312;195;129;83;
16;;83;96;284;966;1295;2026;1917;588;307;192;127;83;
17;;82;97;307;1018;1300;2055;1798;571;299;190;126;80;
18;;81;99;316;1115;1329;2026;1700;554;296;187;123;79;
19;;79;102;325;1122;1362;1991;1579;538;291;183;123;79;
20;;78;105;338;1131;1371;1963;1504;527;286;181;121;78;
21;;78;108;360;1149;1402;1948;1423;511;283;180;120;77;
22;;77;110;394;1147;1409;1986;1367;500;277;177;119;75;
23;;75;111;398;1131;1421;2093;1303;491;274;174;118;75;
24;;77;113;447;1115;1429;2186;1263;475;270;171;117;73;
25;;76;124;466;1097;1450;2450;1207;465;262;169;115;73;
26;;75;124;515;1088;1515;2531;1161;455;261;167;112;72;
27;;79;133;539;1064;1498;2599;1115;446;254;165;110;72;
28;;80;139;565;1056;1483;2707;1079;440;252;163;109;71;
29;;78;151;611;1036;1489;2861;1042;428;249;162;107;71;
30;;77;154;636;1037;;3115;1012;418;245;159;104;70;
31;;79;;660;1034;;3813;;411;;157;103;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Station Number : 130400         ;Year: 2012/2013;;;;;;;;;;;;;
Station Name : 1-105 Zambezi At Chavuma Mission (130400);;;;;;;;;;;;;;
Time-Series Type : Flow (cumecs);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Oct  ;Nov  ;Dec  ;Jan  ;Feb  ;Mar  ;Apr  ;May  ;Jun  ;Jul  ;Aug  ;Sep  ;
;;;;;;;;;;;;;;
1;;70;63;139;865;1795;1386;2542;854;384;214;137;91;
2;;70;76;152;926;1768;1393;2393;830;375;211;133;90;
3;;68;86;153;988;1742;1347;2298;810;375;209;133;88;
4;;68;85;156;1070;1717;1437;2114;791;375;204;128;88;
5;;68;85;166;1120;1735;1488;1986;764;355;201;126;87;
6;;68;84;173;1192;1749;1569;1880;740;342;199;124;86;
7;;67;85;187;1207;1754;1628;1839;727;338;191;124;84;
8;;67;83;194;1192;1737;1656;1705;703;332;190;124;83;
9;;65;82;212;1178;1700;1664;1632;688;323;190;123;83;
10;;65;82;212;1161;1680;1666;1570;666;307;190;121;83;
11;;64;84;219;1155;1664;1693;1514;642;305;187;119;87;
12;;63;85;227;1154;1659;1701;1453;624;295;183;118;86;
13;;64;86;238;1223;1641;1710;1402;607;292;180;116;85;
14;;63;86;245;1289;1664;1731;1370;582;289;176;114;85;
15;;61;89;256;1411;1717;1749;1314;571;284;174;113;84;
16;;61;87;265;1471;1687;1782;1297;556;277;171;112;84;
17;;61;88;299;1482;1705;1844;1255;546;274;170;110;83;
18;;61;91;311;1463;1574;1994;1217;527;266;167;108;81;
19;;62;89;334;1454;1550;2266;1176;513;260;164;107;78;
20;;61;89;370;1479;1568;2564;1154;505;258;160;105;80;
21;;61;90;394;1550;1563;2810;1124;487;250;158;103;78;
22;;61;91;419;1574;1552;2989;1092;475;247;157;102;78;
23;;61;93;455;1650;1524;3059;1075;463;244;156;101;77;
24;;64;96;525;1840;1480;3089;1040;452;241;151;99;77;
25;;64;99;578;2033;1438;3067;1025;444;235;151;96;77;
26;;65;101;620;2033;1403;3011;991;432;231;150;94;77;
27;;65;107;661;1984;1398;2978;962;425;230;149;94;77;
